time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2025-10-07 06:43:45.341 UTC, , , , , , , , , ,125,13224525,10078672, , ,575, ,42928, , , , , , , , , ,575,11, , , ,59,1,3, ,721, , , , , , , , , , , ,42866, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,22,29,170577320,2, , , , , , , , , , ,2, ,5, , , , , , , , , , , , , , , , , , , , , , ,350, ,4705, ,714,22904,15203, , , , , , , , , , 
2025-10-07 06:44:45.342 UTC, , , , , , , , , ,125,13538989,10393136, , ,594, ,33365, , , , , , , , , ,594,11, , , ,53,1,3, ,618, , , , , , , , , , , ,33305, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,23,27,205886728,1, , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , ,300, ,2184, ,612,20980,10116, , , , , , , , , , 
2025-10-07 06:45:45.344 UTC, , , , , , , , , ,125,14253685,11107832, , ,642, ,37750, , , , , , , , , ,642,13, , , ,47,1,3, ,823, , , , , , , , , , , ,37680, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,27,30,318265992,2, , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , ,400, ,4317, ,816,20754,12555, , , , , , , , , , 
2025-10-07 06:46:45.346 UTC, , , , , , , , , ,125,15285613,12139760, , ,705, ,44667, , , , , , , , , ,705,13, , , ,43,1,3, ,718, , , , , , , , , , , ,44617, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,31,41,189092032,3, , , , , , , , , , ,2, ,4, , , , , , , , , , , , , , , , , , , , , , ,350, ,6102, ,714,21388,17060, , , , , , , , , , 
2025-10-07 06:47:45.348 UTC, , , , , , , , , ,125,15539013,12393160, , ,716, ,30022, , , , , , , , , ,716,13, , , ,37,1,3, ,824, , , , , , , , , , , ,29959, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,26,29,207376904,3, , , , , , , , , , ,1, ,6, , , , , , , , , , , , , , , , , , , , , , ,400, ,1902, ,816,19859,8181, , , , , , , , , , 
2025-10-07 06:48:45.350 UTC, , , , , , , , , ,125,15969989,12824136, , ,746, ,25219, , , , , , , , , ,746,14, , , ,34,1,3, ,821, , , , , , , , , , , ,25171, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,21,25,230687912,2, , , , , , , , , , ,1, ,3, , , , , , , , , , , , , , , , , , , , , , ,400, ,2614, ,816,13510,9014, , , , , , , , , , 
2025-10-07 06:49:45.351 UTC, , , , , , , , , ,125,16411621,13265768, , ,787, ,12979, , , , , , , , , ,787,14, , , ,31,1,3, ,719, , , , , , , , , , , ,12933, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,13,15,170731296,2, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,350, ,2688, ,714,3192,7009, , , , , , , , , , 
2025-10-07 06:50:45.353 UTC, , , , , , , , , ,125,16859565,13713712, , ,813, ,13647, , , , , , , , , ,813,15, , , ,28,1,3, ,719, , , , , , , , , , , ,13605, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,13,17,177825744,2, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,350, ,2846, ,714,3305,7425, , , , , , , , , , 
2025-10-07 06:51:45.355 UTC, , , , , , , , , ,125,17317877,14172024, , ,843, ,14606, , , , , , , , , ,843,15, , , ,26,1,3, ,616, , , , , , , , , , , ,14571, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,13,18,287063160,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,300, ,2885, ,612,3977,7677, , , , , , , , , , 
2025-10-07 06:52:45.356 UTC, , , , , , , , , ,125,17509053,14363200, , ,855, ,23294, , , , , , , , , ,855,15, , , ,23,1,3, ,822, , , , , , , , , , , ,23248, , ,1377,1,744,744, , , , ,1427,899182329856,-1,-1,-1,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1759818825189,,, , , , , , , , , ,3145728,1538, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,18,26,113987016,2, , , , , , , , , , ,1, ,3, , , , , , , , , , , , , , , , , , , , , , ,400, ,1460, ,816,14824,6949, , , , , , , , , , 
