Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,2,20.0,-35.0
Query 2,1,10.0,1.0
Query 3,0,0.0,0.0
Query 4,1,10.0,0.0
Query 5,0,0.0,0.0
Query 6,3,30.0,0.25
Query 7,1,10.0,0.0
Query 8,2,20.0,-12.0
Query 9,0,0.0,0.0
Query 10,2,20.0,-4.0
Query 11,4,40.0,-2.8
Query 12,0,0.0,0.0
Query 13,2,20.0,-1.0
Query 14,3,30.0,0.5
Query 15,0,0.0,0.0
Query 16,1,10.0,0.0
Query 17,1,10.0,0.0
Query 18,1,10.0,0.0
Query 19,3,30.0,-1.25
Query 20,2,20.0,-4.0
Query 21,1,10.0,0.0
Query 22,0,0.0,0.0
Query 23,0,0.0,0.0
Query 24,2,20.0,-4.0
Query 25,3,30.0,-11.25
Query 26,3,30.0,-0.5
Query 27,0,0.0,0.0
Query 28,3,30.0,-3.5
Query 29,1,10.0,0.0
Query 30,1,10.0,0.0
Query 31,2,20.0,-1.0
Query 32,0,0.0,0.0
Query 33,1,10.0,0.0
Query 34,2,20.0,-36.0
Query 35,0,0.0,0.0
Query 36,0,0.0,0.0
Query 37,1,10.0,0.0
Query 38,4,40.0,-6.7
Query 39,2,20.0,-4.0
Query 40,0,0.0,0.0
Query 41,2,20.0,-8.0
Query 42,0,0.0,0.0
Query 43,5,50.0,-5.15
Query 44,0,0.0,0.0
Query 45,1,10.0,0.0
Query 46,2,20.0,-39.0
Query 47,0,0.0,0.0
Query 48,1,10.0,0.0
Query 49,4,40.0,-1.0
Query 50,1,10.0,0.0
Query 51,2,20.0,-24.0
Query 52,2,20.0,0.0
Query 53,1,10.0,0.0
Query 54,1,10.0,0.0
Query 55,1,10.0,0.0
Query 56,1,10.0,0.0
Query 57,0,0.0,0.0
Query 58,0,0.0,0.0
Query 59,0,0.0,0.0
Query 60,0,0.0,0.0
Query 61,1,10.0,0.0
Query 62,3,30.0,-7.25
Query 63,2,20.0,-51.0
Query 64,1,10.0,0.0
Query 65,2,20.0,-12.0
Query 66,2,20.0,-1.0
Query 67,1,10.0,1.0
Query 68,1,10.0,0.0
Query 69,1,10.0,1.0
Query 70,0,0.0,0.0
Query 71,0,0.0,0.0
Query 72,3,30.0,-17.75
Query 73,2,20.0,-7.0
Query 74,0,0.0,0.0
Query 75,1,10.0,1.0
Query 76,1,10.0,0.0
Query 77,1,10.0,0.0
Query 78,2,20.0,-19.0
Query 79,2,20.0,-19.0
Query 80,1,10.0,0.0
Query 81,3,30.0,-1.25
Query 82,1,10.0,0.0
Query 83,0,0.0,0.0
Query 84,1,10.0,0.0
Query 85,2,20.0,-31.0
Query 86,1,10.0,0.0
Query 87,4,40.0,-1.1
Query 88,1,10.0,1.0
Query 89,2,20.0,-1.0
Query 90,0,0.0,0.0
Query 91,1,10.0,0.0
Query 92,1,10.0,0.0
Query 93,3,30.0,-5.75
Query 94,3,30.0,0.75
Query 95,0,0.0,0.0
Query 96,1,10.0,0.0
Query 97,3,30.0,-14.5
Query 98,2,20.0,-16.0
Query 99,0,0.0,0.0
Query 100,1,10.0,0.0
Averages,1.36,13.6,-4.0225
